date,client_name,product,category,region,quantity,unit_price,total_value
2025-04-11,Redstone Corp.,Laptop Pro 15,Electronics,East,2,1299.99,2599.98
2025-04-14,Blue Ridge Co.,Office Chair Deluxe,Furniture,South,7,249.50,1746.50
2025-04-16,ClearPath Inc.,Noise-Cancel Headphones,Electronics,East,6,199.99,1199.94
2025-04-18,Foresight Ltd.,Standing Desk,Furniture,East,3,599.00,1797.00
2025-04-22,GreenLeaf Corp.,Webcam HD 1080p,Electronics,South,13,79.99,1039.87
2025-04-24,Harbor Tech,Mechanical Keyboard,Electronics,West,11,129.00,1419.00
2025-04-28,Apex Solutions,Desk Lamp LED,Furniture,North,40,34.50,1380.00
2025-05-02,Ironworks LLC,Laptop Pro 15,Electronics,North,3,1299.99,3899.97
2025-05-05,Juno Ventures,Monitor 27" 4K,Electronics,South,4,749.00,2996.00
2025-05-07,KeyStone Group,USB-C Hub 7-in-1,Electronics,West,18,59.99,1079.82
2025-05-09,Lightwave Co.,Office Chair Deluxe,Furniture,North,6,249.50,1497.00
2025-05-12,Delta Systems,Bookcase 5-Shelf,Furniture,West,5,319.00,1595.00
2025-05-14,Meridian Inc.,Ergonomic Mouse,Electronics,East,22,44.90,987.80
2025-05-16,NovaBuild Ltd.,Noise-Cancel Headphones,Electronics,West,8,199.99,1599.92
2025-05-19,Orion Systems,Webcam HD 1080p,Electronics,South,15,79.99,1199.85
2025-05-21,Pinnacle Group,Laptop Pro 15,Electronics,West,2,1299.99,2599.98
2025-05-23,QualityFirst LLC,Standing Desk,Furniture,North,4,599.00,2396.00
2025-05-26,Redstone Corp.,Mechanical Keyboard,Electronics,East,12,129.00,1548.00
2025-05-28,Apex Solutions,Monitor 27" 4K,Electronics,North,6,749.00,4494.00
2025-06-02,Blue Ridge Co.,Desk Lamp LED,Furniture,South,28,34.50,966.00
2025-06-04,ClearPath Inc.,Laptop Pro 15,Electronics,East,4,1299.99,5199.96
2025-06-06,GreenLeaf Corp.,USB-C Hub 7-in-1,Electronics,South,16,59.99,959.84
2025-06-09,Foresight Ltd.,Noise-Cancel Headphones,Electronics,East,10,199.99,1999.90
2025-06-11,Harbor Tech,Office Chair Deluxe,Furniture,West,5,249.50,1247.50
2025-06-13,Ironworks LLC,Monitor 27" 4K,Electronics,North,3,749.00,2247.00
2025-06-16,Juno Ventures,Ergonomic Mouse,Electronics,South,25,44.90,1122.50
2025-06-18,KeyStone Group,Bookcase 5-Shelf,Furniture,West,6,319.00,1914.00
2025-06-20,Lightwave Co.,Webcam HD 1080p,Electronics,North,14,79.99,1119.86
2025-06-23,NovaBuild Ltd.,Mechanical Keyboard,Electronics,West,15,129.00,1935.00
2025-06-25,Apex Solutions,Standing Desk,Furniture,North,3,599.00,1797.00
2025-06-27,Delta Systems,Laptop Pro 15,Electronics,West,2,1299.99,2599.98
2025-06-30,Meridian Inc.,USB-C Hub 7-in-1,Electronics,East,20,59.99,1199.80
2025-07-02,Orion Systems,Noise-Cancel Headphones,Electronics,South,9,199.99,1799.91
2025-07-04,Pinnacle Group,Monitor 27" 4K,Electronics,West,4,749.00,2996.00
2025-07-07,QualityFirst LLC,Desk Lamp LED,Furniture,North,35,34.50,1207.50
2025-07-09,Redstone Corp.,Office Chair Deluxe,Furniture,East,8,249.50,1996.00
2025-07-11,Blue Ridge Co.,Laptop Pro 15,Electronics,South,3,1299.99,3899.97
2025-07-14,ClearPath Inc.,Standing Desk,Furniture,East,4,599.00,2396.00
2025-07-16,GreenLeaf Corp.,Mechanical Keyboard,Electronics,South,18,129.00,2322.00
